,id,currentEducation,experienceYears,language,interest_list,skill_list,learningResource_list,tools_list
127,9ff4d9b0-9834-44f2-83d1-60b2f8e5e49c,Middle School,2,Italian,"['AI in Education', 'Machine Learning', 'Cognitive Computing', 'Natural Language Processing', 'Reinforcement Learning']","['Kaggle', 'Coursera', 'Stanford Online', 'DeepLearning.ai']","['Udemy', 'DeepLearning.ai', 'Google AI', 'Kaggle', 'Coursera', 'edX', 'Harvard Online']","['Amazon SageMaker', 'Scikit-learn', 'Hugging Face Transformers', 'DataRobot', 'OpenAI GPT', 'Keras', 'PyTorch', 'TensorFlow', 'OpenCV', 'IBM Watson', 'RapidMiner', 'Weka', 'Google Cloud AI', 'BigML', '']"
128,a0c55c27-e49d-4577-a39e-b10db0425e0a,Master Degree,4,Hindi,"['Recommender Systems', 'Machine Learning', 'AI in Healthcare', 'Generative AI', 'Deep Learning', 'Speech Recognition', '', 'Neural Networks', 'Autonomous Vehicles', 'AI in Finance', 'AI in Education', 'Reinforcement Learning', '']","['', 'edX', 'Kaggle', 'Udemy', 'MIT OpenCourseWare', 'Coursera', 'Google AI', 'DeepLearning.ai', 'Stanford Online']","['Coursera', 'Kaggle', 'YouTube', 'MIT OpenCourseWare', 'Harvard Online']","['DataRobot', 'BigML', 'Google Cloud AI']"
129,a122f478-cfa7-4341-8621-13444fa64285,High School,0,Korean,"['Expert Systems', 'AI Planning and Optimization', '', 'Neural Networks', 'Deep Learning', 'Natural Language Processing', 'Machine Learning', 'Speech Recognition', 'Recommender Systems', 'Computer Vision', 'AI in Healthcare']",['Stanford Online'],"['Google AI', '', 'DeepLearning.ai', 'MIT OpenCourseWare']","['Hugging Face Transformers', 'Keras', 'RapidMiner', 'IBM Watson', 'TensorFlow', 'Scikit-learn', 'PyTorch', 'Amazon SageMaker', 'Microsoft Azure AI', 'OpenCV', 'Google Cloud AI']"
130,a428cb8a-753b-4fb6-b7b2-b9e05c1c103c,Undergraduate Degree,3,Turkish,"['AI in Healthcare', 'AI Planning and Optimization', 'AI for Games', 'Robotics', 'Natural Language Processing', 'Cognitive Computing', '', 'Computer Vision', 'Expert Systems', 'Generative AI']","['GitHub', 'Stanford Online', 'edX', '', 'Coursera', 'Kaggle', 'MIT OpenCourseWare']","['edX', 'YouTube', 'MIT OpenCourseWare', 'Harvard Online', 'Coursera', 'DeepLearning.ai']","['OpenCV', 'OpenAI GPT', 'RapidMiner', 'Amazon SageMaker', 'IBM Watson', 'Keras', 'Scikit-learn', 'Microsoft Azure AI', 'BigML']"
131,a4c05c4d-475c-4368-ac5c-e4208bf339da,Undergraduate Degree,3,Thai,"['AI in Education', 'Machine Learning', 'Computer Vision', 'Deep Learning', 'Recommender Systems', 'Natural Language Processing', 'AI Ethics', 'Neural Networks', 'Speech Recognition', 'Reinforcement Learning', '']","['DeepLearning.ai', 'edX', 'MIT OpenCourseWare', 'YouTube', 'Udemy', '', 'Harvard Online']","['Coursera', 'DeepLearning.ai', 'YouTube']","['Microsoft Azure AI', 'Amazon SageMaker', 'OpenCV', 'BigML', 'OpenAI GPT', 'Keras', 'DataRobot', 'PyTorch', 'Google Cloud AI', '', 'Hugging Face Transformers', 'RapidMiner']"
132,a5f2e493-321f-4a07-99b5-3bab86c85989,Undergraduate Degree,3,Greek,"['AI for Games', 'Deep Learning', 'Autonomous Vehicles', 'Machine Learning', 'Cognitive Computing', 'Natural Language Processing', 'Computer Vision', 'AI Ethics', 'AI Planning and Optimization', '', 'Neural Networks', 'Reinfor']","['Google AI', 'Kaggle', 'Harvard Online', 'MIT OpenCourseWare', '', 'Coursera', 'YouTube']","['GitHub', 'Coursera', 'Harvard Online', 'Kaggle', 'YouTube', 'Stanford Online', 'edX', 'Google AI', '', 'Udemy', 'DeepLearning.ai']","['BigML', 'PyTorch', 'Google Cloud AI', 'OpenCV', 'IBM Watson', 'OpenAI GPT', 'Amazon SageMaker', 'Microsoft Azure AI', 'Scikit-learn', 'RapidMiner']"
133,a67ba634-c726-4355-a480-76dac1c95545,Undergraduate Degree,3,Greek,"['Cognitive Computing', 'AI in Education', 'Autonomous Vehicles']","['edX', 'Udemy', 'Harvard Online', 'Stanford Online', 'GitHub', 'Kaggle', 'DeepLearning.ai']","['DeepLearning.ai', 'GitHub', 'Harvard Online', 'Udemy', 'Stanford Online', 'edX', '', 'Coursera']","['Hugging Face Transformers', '', 'OpenAI GPT', 'PyTorch', 'Amazon SageMaker', 'TensorFlow', 'BigML', 'Scikit-learn', 'OpenCV', 'Keras']"
134,a85963b8-2d6b-4667-a6f8-e2fd5913857b,Master Degree,4,Bengali,"['Recommender Systems', 'AI in Education', 'Reinforcement Learning', 'AI in Healthcare', 'Cognitive Computing', '', 'Robotics', 'Deep Learning', 'AI in Finance', 'Computer Vision']","['Udemy', 'DeepLearning.ai', 'Harvard Online', 'Coursera', 'Google AI', 'MIT OpenCourseWare', 'Stanford Online', 'Kaggle', '']","['Udemy', 'Google AI', 'Kaggle', 'YouTube', 'DeepLearning.ai', 'Coursera', 'edX', 'Harvard Online', 'GitHub']","['Google Cloud AI', 'Amazon SageMaker', 'RapidMiner', 'OpenAI GPT', 'Keras', 'Weka', 'IBM Watson', 'BigML', 'Microsoft Azure AI', 'Scikit-learn']"
135,a9a6eaea-cd0d-4485-9fbb-400f54503521,Undergraduate Degree,3,Turkish,"['AI for Games', 'Neural Networks', 'Deep Learning']","['DeepLearning.ai', 'MIT OpenCourseWare', 'Harvard Online', 'Udemy', 'Stanford Online', 'Kaggle', 'edX', 'Google AI']","['MIT OpenCourseWare', 'Google AI', 'Kaggle', 'Stanford Online', 'edX']","['Hugging Face Transformers', 'Microsoft Azure AI', 'IBM Watson', 'Weka', 'OpenAI GPT', '', 'RapidMiner', 'Amazon SageMaker', 'Scikit-learn', 'Keras', 'Google Cloud AI', 'BigML', 'OpenCV', 'PyTorch', 'DataRobot']"
136,aa04bb89-dbec-4747-8503-8fcdeb32b6d8,Middle School,1,Japanese,"['Neural Networks', 'Speech Recognition', '']","['YouTube', 'Google AI', 'Stanford Online']","['MIT OpenCourseWare', 'YouTube']","['RapidMiner', 'Keras', 'Scikit-learn', 'TensorFlow', 'Hugging Face Transformers', 'OpenAI GPT']"
138,aaaddb5a-9973-4539-8b7e-1fab9c3f5d24,Undergraduate Degree,3,Vietnamese,"['Machine Learning', 'Speech Recognition', 'AI Ethics', 'AI for Games', 'Computer Vision', 'Neural Networks', 'AI Planning and Optimization', 'Natural Language Processing', 'Generative AI', 'Recommender Systems', 'Expert Sy']","['YouTube', '', 'Kaggle', 'Stanford Online', 'GitHub', 'edX', 'Google AI', 'DeepLearning.ai']","['Udemy', 'Google AI', 'Harvard Online', 'Kaggle', '', 'DeepLearning.ai']","['OpenCV', 'TensorFlow', 'Weka', 'Google Cloud AI', 'PyTorch', 'OpenAI GPT', 'Hugging Face Transformers', 'IBM Watson', 'DataRobot', 'Amazon SageMaker', 'Microsoft Azure AI', 'Keras', '', 'RapidMiner']"
139,ab3cf65c-fe61-4237-9400-4995f0c646c6,University,2,Turkish,"['Recommender Systems', 'AI in Education', 'Speech Recognition', 'Robotics']","['Udemy', 'YouTube', 'MIT OpenCourseWare', 'GitHub', 'Google AI', 'Coursera']","['Coursera', 'Kaggle']","['Keras', 'TensorFlow', 'OpenCV', 'PyTorch', 'BigML', 'Hugging Face Transformers', 'Weka']"
142,b2e23835-6526-4ccf-8f91-f445501ed726,Undergraduate Degree,3,Turkish,"['Reinforcement Learning', 'AI in Healthcare']","['', 'MIT OpenCourseWare', 'Kaggle', 'edX', 'GitHub', 'Udemy', 'DeepLearning.ai', 'Stanford Online']","['Google AI', 'edX', 'MIT OpenCourseWare', 'DeepLearning.ai', 'Harvard Online', 'Coursera', 'YouTube']","['Hugging Face Transformers', 'Weka', 'TensorFlow', 'IBM Watson', 'OpenCV', 'DataRobot', 'Amazon SageMaker', 'Google Cloud AI']"
143,b3f1b677-ebbd-4dd2-8baf-4d0daf41c795,Middle School,1,Portuguese,"['AI for Games', 'Generative AI', 'AI in Finance', 'Autonomous Vehicles', '']","['Google AI', 'DeepLearning.ai', 'Kaggle']","['', 'Stanford Online', 'Kaggle', 'edX', 'DeepLearning.ai', 'GitHub', 'MIT OpenCourseWare', 'Harvard Online', 'Udemy', 'YouTube']","['Google Cloud AI', 'Keras', 'OpenAI GPT', 'Microsoft Azure AI', 'TensorFlow', 'DataRobot', 'Scikit-learn', 'Amazon SageMaker', 'BigML', '', 'OpenCV', 'IBM Watson']"
144,b49a8109-f821-4979-8207-0f92767b8bd5,Undergraduate Degree,3,Thai,"['Autonomous Vehicles', 'Deep Learning', 'Machine Learning', 'Recommender Systems', 'Computer Vision', 'Natural Language Processing', 'Reinforcement Learning', 'AI in Finance', 'Cognitive Computing', 'AI Planning and Opt']","['Coursera', 'MIT OpenCourseWare', 'GitHub', 'Google AI', 'Kaggle', '', 'Harvard Online', 'Stanford Online']","['Harvard Online', 'DeepLearning.ai', '', 'Stanford Online', 'Google AI', 'Udemy', 'edX', 'YouTube', 'MIT OpenCourseWare', 'Kaggle', 'Coursera']","['PyTorch', 'Microsoft Azure AI', 'IBM Watson', 'BigML', 'Amazon SageMaker', '']"
147,b7b8fab5-23e3-49d0-8453-8b087a6c10a8,University,2,Mandarin,"['AI for Games', 'Neural Networks', 'Machine Learning', 'Cognitive Computing', 'AI in Finance', 'AI in Education', 'Speech Recognition', 'AI Planning and Optimization', 'Recommender Systems', 'Natural Language Processing']","['Kaggle', 'Google AI', 'Coursera', 'Stanford Online', 'edX', 'DeepLearning.ai']","['edX', 'Stanford Online', 'Kaggle', 'DeepLearning.ai', 'Harvard Online', '', 'YouTube', 'Coursera', 'GitHub', 'MIT OpenCourseWare']","['Scikit-learn', 'DataRobot', '', 'OpenCV', 'TensorFlow', 'Amazon SageMaker']"
148,b89ec7b4-1984-4294-9f16-923a99709452,Middle School,2,Russian,"['Expert Systems', 'AI Ethics', 'Robotics', 'Recommender Systems', 'Deep Learning', 'Speech Recognition', 'Natural Language Processing', 'AI in Finance', 'Neural Networks', 'AI Planning and Optimization', 'Generative AI', '', 'Ma']","['edX', 'MIT OpenCourseWare', 'Stanford Online', 'DeepLearning.ai']","['Udemy', '', 'YouTube', 'Kaggle', 'Harvard Online', 'Google AI', 'GitHub', 'MIT OpenCourseWare', 'edX']","['BigML', 'OpenAI GPT', 'Weka', 'OpenCV', 'TensorFlow', 'Hugging Face Transformers', 'Google Cloud AI', 'PyTorch', 'Scikit-learn', 'Microsoft Azure AI']"
149,ba6edd22-c2dd-48e6-a670-de7470d96ec7,Undergraduate Degree,3,Thai,"['Speech Recognition', 'AI in Education', 'Cognitive Computing', 'Recommender Systems', 'Expert Systems', 'Neural Networks', 'AI for Games', 'Autonomous Vehicles', 'AI in Finance', '', 'Reinforcement Learning', 'Computer Visio']","['DeepLearning.ai', 'Udemy', 'Stanford Online', 'Kaggle', 'edX', '', 'YouTube']","['Harvard Online', 'MIT OpenCourseWare', 'GitHub', 'Google AI', 'Kaggle', 'edX', 'DeepLearning.ai', '', 'Coursera', 'YouTube', 'Udemy']","['Scikit-learn', '', 'Google Cloud AI', 'PyTorch', 'Microsoft Azure AI', 'Amazon SageMaker', 'DataRobot', 'IBM Watson', 'TensorFlow', 'Keras', 'OpenCV', 'Hugging Face Transformers']"
150,bb9e37c3-6a83-4527-89e9-ad4bfa63366e,Elementary,1,French,"['AI Ethics', 'Natural Language Processing', 'Computer Vision', 'AI Planning and Optimization', 'Generative AI', 'Reinforcement Learning', 'Deep Learning', 'AI for Games', 'Machine Learning', 'Cognitive Computing', 'Autonom']","['Harvard Online', 'Udemy']","['Udemy', 'Harvard Online', 'GitHub', 'Coursera', 'MIT OpenCourseWare', 'edX', '', 'Google AI', 'YouTube']","['OpenCV', '', 'Keras', 'Weka', 'OpenAI GPT']"
152,bc0f7ce7-ce33-4c42-a5df-59d2628650a4,University,2,Russian,"['AI in Education', '', 'AI for Games', 'AI Planning and Optimization', 'Generative AI', 'Computer Vision', 'AI Ethics', 'Deep Learning', 'Recommender Systems', 'AI in Healthcare']","['DeepLearning.ai', 'Google AI', 'Stanford Online', 'MIT OpenCourseWare', '', 'Harvard Online']","['edX', 'Google AI', 'DeepLearning.ai', 'GitHub', 'YouTube', 'Harvard Online']","['IBM Watson', 'RapidMiner', 'DataRobot', 'PyTorch', 'Weka', 'OpenAI GPT', 'OpenCV', 'Amazon SageMaker', 'Google Cloud AI', 'Keras', 'Scikit-learn', '', 'Hugging Face Transformers', 'TensorFlow', 'Microsoft Azure AI']"
155,c0c3da76-de07-47e3-b598-caf954698abe,Master Degree,4,Mandarin,"['AI in Healthcare', 'Computer Vision', 'Generative AI', 'Machine Learning', 'Recommender Systems']","['Google AI', 'GitHub', 'MIT OpenCourseWare', 'YouTube', 'Udemy', 'edX', '', 'Harvard Online', 'Stanford Online']","['Coursera', 'DeepLearning.ai', 'MIT OpenCourseWare', 'edX', 'YouTube', 'Google AI', '', 'GitHub', 'Stanford Online']","['DataRobot', 'OpenCV']"
156,c1491185-b05d-47cd-9f2e-1da90b20dc89,Master Degree,4,Russian,"['AI Ethics', '', 'AI in Finance', 'Reinforcement Learning', 'AI Planning and Optimization', 'Recommender Systems', 'AI in Education', 'Autonomous Vehicles', 'Cognitive Computing', 'Neural Networks']","['MIT OpenCourseWare', 'edX', 'GitHub', 'Google AI', 'Udemy', 'Harvard Online', 'Coursera', 'DeepLearning.ai', 'Kaggle']","['Harvard Online', 'DeepLearning.ai', 'Stanford Online']","['Hugging Face Transformers', 'DataRobot', 'Keras', 'Scikit-learn', 'Amazon SageMaker', 'BigML', 'IBM Watson', 'RapidMiner', 'TensorFlow', 'Microsoft Azure AI', 'OpenCV', 'Google Cloud AI', 'Weka']"
157,c1890403-678f-44d8-bc07-d4d4a1ff416e,University,2,Hindi,"['Robotics', 'Deep Learning']","['Coursera', 'YouTube', 'edX', 'Udemy', 'Harvard Online', 'MIT OpenCourseWare']","['Harvard Online', 'Google AI', 'MIT OpenCourseWare']","['DataRobot', 'BigML', 'TensorFlow', 'Microsoft Azure AI', 'RapidMiner', 'Scikit-learn', 'Weka', 'OpenCV', 'IBM Watson', 'Keras', 'PyTorch', 'OpenAI GPT']"
158,c3e1eeb1-af48-48be-8347-2b7b9f63f5b8,Undergraduate Degree,3,English,"['Robotics', 'AI in Education', 'AI in Healthcare', 'Computer Vision', 'Generative AI', 'Reinforcement Learning', 'Autonomous Vehicles', 'Speech Recognition', 'Machine Learning']","['Coursera', 'GitHub', 'Google AI', 'DeepLearning.ai', 'Kaggle', 'MIT OpenCourseWare', 'Harvard Online', 'YouTube']",['Coursera'],"['Scikit-learn', 'TensorFlow', 'Amazon SageMaker', 'OpenCV', 'RapidMiner', 'Keras', 'Google Cloud AI']"
160,c8b4391a-2ccc-42b0-b20c-8c7d677ea21c,Elementary,1,German,"['Speech Recognition', 'AI Ethics', 'Autonomous Vehicles', 'Expert Systems', 'Natural Language Processing', 'Cognitive Computing', 'Robotics', 'Deep Learning', '', 'Generative AI', 'Machine Learning', 'Computer Vision', 'Neural N']","['Coursera', 'GitHub']","['DeepLearning.ai', '', 'MIT OpenCourseWare', 'Google AI', 'edX', 'Udemy', 'Stanford Online', 'Kaggle', 'Harvard Online']",['OpenCV']
161,c9243acc-b857-4d9a-a8c5-230f77e21159,High School,0,Vietnamese,"['AI Ethics', '', 'Cognitive Computing', 'Machine Learning', 'AI for Games']",['Kaggle'],"['Coursera', 'Google AI']","['DataRobot', 'OpenAI GPT', 'OpenCV', 'Amazon SageMaker', 'Hugging Face Transformers', '', 'BigML']"
162,c9e8706c-4445-4d51-9cbb-cac66ffac845,University,2,Hindi,"['AI for Games', 'Reinforcement Learning', 'Cognitive Computing', 'Natural Language Processing', '', 'Robotics', 'AI in Finance', 'AI Ethics', 'AI in Education', 'Expert Systems', 'Generative AI', 'Speech Recognition', 'AI in Hea']","['Udemy', 'YouTube', 'Kaggle', 'Harvard Online', 'MIT OpenCourseWare', '']","['GitHub', 'Stanford Online', 'Coursera', '', 'YouTube', 'Harvard Online', 'DeepLearning.ai']","['', 'OpenAI GPT', 'DataRobot']"
164,cdd83670-8899-468c-8eba-ae5544497235,Middle School,2,Portuguese,"['Machine Learning', 'AI Ethics', 'Neural Networks', 'Autonomous Vehicles', 'Deep Learning', 'Speech Recognition', 'Expert Systems', 'AI for Games']","['Kaggle', 'YouTube', 'Udemy', 'Coursera']","['MIT OpenCourseWare', 'edX', 'YouTube', '', 'Google AI', 'Stanford Online', 'Udemy', 'GitHub', 'Coursera', 'Kaggle']","['IBM Watson', 'Hugging Face Transformers', 'OpenAI GPT', 'RapidMiner', '', 'Microsoft Azure AI', 'Amazon SageMaker', 'PyTorch', 'Keras', 'TensorFlow', 'Google Cloud AI']"
166,cf54a2bb-e0db-424e-878b-95c36722926d,Undergraduate Degree,3,Turkish,"['Reinforcement Learning', 'AI Ethics']","['Harvard Online', 'Google AI', 'MIT OpenCourseWare', 'GitHub', 'edX', 'Coursera', 'DeepLearning.ai']","['Stanford Online', 'GitHub', 'Coursera', 'edX', 'Google AI', 'Harvard Online', 'Udemy', '']","['Microsoft Azure AI', 'Hugging Face Transformers', 'Keras', '', 'Scikit-learn', 'Amazon SageMaker']"
167,d12388e8-0a7a-4fb5-8dc3-afaeeedc22a2,Middle School,2,Arabic,"['Recommender Systems', 'Expert Systems', 'Generative AI', 'Natural Language Processing', 'AI in Healthcare', 'Speech Recognition', 'Cognitive Computing', 'Machine Learning', 'AI Planning and Optimization', 'AI for Games']","['edX', 'Kaggle', 'DeepLearning.ai', 'YouTube']","['Coursera', 'Kaggle', 'YouTube', 'GitHub', 'DeepLearning.ai']","['OpenAI GPT', 'DataRobot', 'Hugging Face Transformers', 'Google Cloud AI', 'BigML', 'PyTorch', 'Scikit-learn', 'Microsoft Azure AI', 'RapidMiner', 'OpenCV']"
168,d1ddb925-4945-43e3-b4e0-0f931c9f649f,Middle School,1,Korean,"['Expert Systems', '', 'Generative AI', 'Computer Vision', 'Neural Networks', 'AI for Games', 'Autonomous Vehicles', 'Reinforcement Learning', 'Recommender Systems']","['Stanford Online', 'Harvard Online', 'GitHub']","['Harvard Online', 'YouTube', 'Udemy', 'DeepLearning.ai', 'Coursera']","['IBM Watson', 'Keras']"
169,d22dd8e2-57e4-4f0d-a90c-0c9b55cdff80,Undergraduate Degree,3,Polish,"['AI in Healthcare', 'Recommender Systems', 'Neural Networks', 'Natural Language Processing']","['edX', 'MIT OpenCourseWare', '', 'Google AI', 'Kaggle', 'Coursera', 'Stanford Online', 'GitHub']",['Google AI'],"['OpenAI GPT', 'Hugging Face Transformers', 'Microsoft Azure AI', 'OpenCV', 'Amazon SageMaker', 'RapidMiner', '', 'Google Cloud AI', 'IBM Watson', 'PyTorch']"
170,d2adea0f-a77e-4c3b-a5f7-9707d3cf1b68,Master Degree,4,Swedish,"['Natural Language Processing', 'Autonomous Vehicles', 'Recommender Systems', 'Generative AI', 'Deep Learning', 'AI in Finance', 'Robotics', 'Computer Vision', 'Neural Networks', '', 'AI for Games', 'AI in Healthcare', 'Reinforce']","['Kaggle', 'Stanford Online', 'edX', 'Udemy', 'MIT OpenCourseWare', 'GitHub', 'Google AI', 'DeepLearning.ai', 'YouTube']",['Udemy'],"['PyTorch', 'IBM Watson']"
171,d3e3d4ef-358a-4951-90ce-6c42854b16b3,Elementary,1,Turkish,"['Machine Learning', 'Reinforcement Learning', 'AI in Healthcare', 'Autonomous Vehicles', '', 'Deep Learning', 'Natural Language Processing', 'Cognitive Computing', 'Computer Vision', 'AI for Games', 'AI in Education']","['DeepLearning.ai', 'Stanford Online']","['DeepLearning.ai', 'MIT OpenCourseWare', 'GitHub', 'Google AI', 'Harvard Online', '', 'Coursera', 'YouTube', 'Stanford Online']","['TensorFlow', 'Scikit-learn', 'Amazon SageMaker', 'Hugging Face Transformers', 'RapidMiner', 'Weka', 'Keras', 'DataRobot', 'Microsoft Azure AI', 'PyTorch', '', 'BigML', 'OpenCV', 'OpenAI GPT', 'Google Cloud AI']"
174,dbff95ad-846a-4a44-804e-9edaae4287cf,Master Degree,4,Polish,"['AI in Education', 'AI Ethics', 'Machine Learning', 'Reinforcement Learning', 'Deep Learning']","['Kaggle', '', 'Udemy', 'MIT OpenCourseWare', 'DeepLearning.ai', 'Stanford Online', 'Coursera', 'Harvard Online', 'GitHub']","['', 'GitHub', 'YouTube', 'MIT OpenCourseWare', 'DeepLearning.ai', 'Stanford Online', 'Kaggle', 'Google AI', 'Harvard Online']","['OpenAI GPT', 'PyTorch', 'Microsoft Azure AI', 'OpenCV', 'Hugging Face Transformers', 'Scikit-learn', 'TensorFlow']"
175,dc5f5592-8837-43fb-9f43-3b4cfe549e93,High School,0,Hindi,"['Neural Networks', 'AI Planning and Optimization', 'Machine Learning', 'AI for Games', 'AI in Education', 'Generative AI', 'Cognitive Computing', 'Computer Vision', 'AI Ethics', 'Natural Language Processing']",['Stanford Online'],"['GitHub', 'Kaggle', 'edX', 'Stanford Online', '', 'Coursera', 'YouTube', 'DeepLearning.ai', 'Google AI', 'Udemy', 'MIT OpenCourseWare']","['Scikit-learn', 'Amazon SageMaker', 'BigML', 'IBM Watson', 'Google Cloud AI', 'RapidMiner', 'Weka', 'OpenCV', '', 'Keras', 'OpenAI GPT', 'TensorFlow', 'Hugging Face Transformers', 'Microsoft Azure AI']"
177,de6cdc05-3405-4dc6-a1b3-d886dfee68e8,Middle School,1,Polish,"['Speech Recognition', 'Recommender Systems', 'Neural Networks', 'Generative AI', 'AI Planning and Optimization', 'Robotics', 'Expert Systems', 'AI in Finance', 'Reinforcement Learning', 'AI in Education', '', 'Machine Learnin']","['GitHub', 'Udemy', '']","['MIT OpenCourseWare', 'Google AI']","['OpenAI GPT', 'Scikit-learn', 'DataRobot']"
179,e35c7d81-cd6c-41ab-ae6a-cd463988a78b,Middle School,2,Russian,"['Cognitive Computing', 'AI in Finance', 'Machine Learning', 'AI in Education', 'AI Ethics', 'Natural Language Processing', 'Deep Learning', 'AI Planning and Optimization', 'Neural Networks', 'AI in Healthcare', 'Autonomous']","['Udemy', 'Coursera', 'Stanford Online', 'MIT OpenCourseWare']","['GitHub', 'Kaggle']","['OpenAI GPT', 'TensorFlow', 'DataRobot', 'IBM Watson', 'Google Cloud AI', 'Microsoft Azure AI', 'Scikit-learn', 'Weka', 'Hugging Face Transformers', 'RapidMiner', 'PyTorch', 'BigML', 'OpenCV']"
181,e85d8f12-2b5b-4b44-82be-ee56e313169f,Undergraduate Degree,3,Bengali,"['Autonomous Vehicles', 'AI in Finance', 'AI Planning and Optimization', 'Recommender Systems', 'Cognitive Computing', 'AI in Healthcare', 'AI in Education', 'Reinforcement Learning', 'Robotics']","['DeepLearning.ai', 'MIT OpenCourseWare', 'Google AI', 'edX', 'Stanford Online', 'Harvard Online', '', 'GitHub']","['Google AI', 'DeepLearning.ai', '', 'edX', 'Harvard Online', 'MIT OpenCourseWare', 'Udemy', 'Coursera', 'YouTube']","['OpenCV', 'Amazon SageMaker', 'Weka', 'PyTorch', '', 'RapidMiner', 'Hugging Face Transformers', 'Google Cloud AI', 'TensorFlow', 'BigML', 'DataRobot', 'Microsoft Azure AI']"
183,ea1294b0-a846-4cc9-8e96-db05f934f868,University,2,Turkish,"['Deep Learning', 'AI for Games', 'Autonomous Vehicles', 'Speech Recognition']","['MIT OpenCourseWare', 'Kaggle', 'edX', 'GitHub', 'Google AI', 'DeepLearning.ai']","['MIT OpenCourseWare', 'Google AI', 'Coursera']","['Weka', '', 'Google Cloud AI', 'RapidMiner']"
184,ecd0ede5-99a5-423b-ac83-d364f87d8217,Middle School,1,Greek,"['AI in Finance', 'AI for Games', 'Neural Networks', 'Natural Language Processing', 'AI Ethics', 'AI in Education', 'Robotics', 'Speech Recognition', 'Cognitive Computing', 'AI in Healthcare', 'Recommender Systems', 'Autonomou']","['Google AI', 'GitHub', 'MIT OpenCourseWare']","['Udemy', 'Harvard Online', 'edX', 'Coursera', 'DeepLearning.ai', 'GitHub', '', 'Kaggle', 'MIT OpenCourseWare', 'YouTube', 'Stanford Online']","['Google Cloud AI', 'IBM Watson', 'TensorFlow', 'DataRobot', 'BigML', 'OpenAI GPT', 'OpenCV', 'RapidMiner', 'Scikit-learn', 'Weka', '', 'Hugging Face Transformers', 'Amazon SageMaker']"
185,ecd31a1f-f146-4e38-9d5c-068240efde59,Elementary,1,Hindi,"['AI in Healthcare', 'Generative AI', 'Natural Language Processing', 'Deep Learning', 'Recommender Systems', 'Autonomous Vehicles', 'Reinforcement Learning', 'Computer Vision', 'AI in Education', 'AI for Games', 'Speech Rec']","['Kaggle', 'GitHub']","['Harvard Online', 'Google AI', 'GitHub', 'MIT OpenCourseWare', '', 'Kaggle', 'Udemy', 'YouTube', 'DeepLearning.ai', 'Coursera']","['Scikit-learn', 'Weka']"
186,ee7a5ecf-4153-4acb-8ce0-328b715939fc,Elementary,1,Russian,"['AI in Education', 'Deep Learning', 'Reinforcement Learning', 'Expert Systems', 'Neural Networks', 'Machine Learning', '']","['', 'Google AI']","['YouTube', '', 'Harvard Online', 'Kaggle']","['PyTorch', 'DataRobot', 'Amazon SageMaker', 'OpenAI GPT', 'Scikit-learn']"
188,f168cfc6-3c61-4391-8a42-eba83b965668,Middle School,1,German,"['AI in Healthcare', '', 'Machine Learning', 'AI in Finance', 'AI Planning and Optimization', 'AI Ethics', 'Robotics', 'Computer Vision', 'AI for Games', 'Recommender Systems', 'AI in Education', 'Cognitive Computing', 'Neural Ne']","['DeepLearning.ai', 'Kaggle', 'Stanford Online']","['edX', 'Stanford Online', 'Udemy', 'Coursera', 'Google AI', 'Kaggle', '', 'GitHub']","['Google Cloud AI', 'Microsoft Azure AI', 'OpenCV', 'IBM Watson', 'PyTorch', '', 'BigML', 'TensorFlow', 'Scikit-learn', 'Keras', 'RapidMiner', 'Weka', 'OpenAI GPT']"
189,f290b5c8-f335-42d0-87ed-5092c22220e3,University,2,Vietnamese,"['Natural Language Processing', 'Computer Vision']","['MIT OpenCourseWare', 'Udemy', 'DeepLearning.ai', 'edX', 'GitHub', 'YouTube']","['Harvard Online', 'edX', 'Udemy', 'Google AI', 'YouTube', 'MIT OpenCourseWare', 'Coursera', 'DeepLearning.ai', 'Stanford Online', '']","['Hugging Face Transformers', 'RapidMiner', '', 'Keras', 'OpenAI GPT', 'Microsoft Azure AI', 'TensorFlow', 'Amazon SageMaker']"
191,f5e1d648-ff13-42cf-a4b2-30360faed51f,University,2,English,"['AI Planning and Optimization', 'Deep Learning', 'Autonomous Vehicles', 'Generative AI', 'Recommender Systems', 'Reinforcement Learning', 'AI in Finance', '']","['DeepLearning.ai', '', 'MIT OpenCourseWare', 'Harvard Online', 'Stanford Online', 'Google AI']","['Kaggle', '', 'Google AI', 'edX', 'Udemy', 'Coursera', 'Stanford Online', 'MIT OpenCourseWare', 'GitHub', 'Harvard Online', 'DeepLearning.ai']","['Microsoft Azure AI', 'TensorFlow', 'Keras', '', 'Weka']"
192,f61eb152-f587-4938-974b-ea1dac127ed0,Middle School,1,Polish,"['AI in Healthcare', 'Deep Learning', 'Generative AI', 'AI in Education', 'Autonomous Vehicles', 'Recommender Systems', 'Speech Recognition', 'Machine Learning', 'Robotics', 'AI Planning and Optimization']","['edX', 'Google AI', 'Udemy']","['Stanford Online', '', 'YouTube', 'Coursera', 'Udemy']","['Amazon SageMaker', 'DataRobot', 'TensorFlow', 'Weka']"
